Rent_Groups,PredictedProb,LL,UL,Grouping_Var,Grouping
984,0.08055335,0.047637793,0.133035083,Lost Disabilty Benifits,Disability_Status
994,0.117749583,0.069807851,0.191826289,Lost Disabilty Benifits,Disability_Status
999,0.10893872,0.061116147,0.186739075,Lost Disabilty Benifits,Disability_Status
1004,0.154822764,0.095996694,0.239845542,Lost Disabilty Benifits,Disability_Status
1009,0.105565433,0.062809763,0.171969261,Lost Disabilty Benifits,Disability_Status
1019,0.099878487,0.056930402,0.169406364,Lost Disabilty Benifits,Disability_Status
1024,0.092661747,0.050900331,0.162808966,Lost Disabilty Benifits,Disability_Status
1029,0.092102897,0.053114108,0.154714215,Lost Disabilty Benifits,Disability_Status
1034,0.119312882,0.073498867,0.187892771,Lost Disabilty Benifits,Disability_Status
1039,0.12374971,0.070324553,0.20860002,Lost Disabilty Benifits,Disability_Status
1049,0.122002118,0.073088744,0.196077183,Lost Disabilty Benifits,Disability_Status
1074,0.190635827,0.115863513,0.294902075,Lost Disabilty Benifits,Disability_Status
1079,0.158195109,0.09846556,0.244279976,Lost Disabilty Benifits,Disability_Status
1089,0.100741974,0.058694189,0.167413209,Lost Disabilty Benifits,Disability_Status
1094,0.086179145,0.05128933,0.141268795,Lost Disabilty Benifits,Disability_Status
1099,0.085233449,0.050259164,0.14093405,Lost Disabilty Benifits,Disability_Status
1104,0.174996299,0.106975394,0.273044436,Lost Disabilty Benifits,Disability_Status
1119,0.124421937,0.071018714,0.20894996,Lost Disabilty Benifits,Disability_Status
1124,0.162758476,0.099080282,0.255744638,Lost Disabilty Benifits,Disability_Status
1129,0.081761527,0.04902947,0.133282849,Lost Disabilty Benifits,Disability_Status
1139,0.096420757,0.05690285,0.158763022,Lost Disabilty Benifits,Disability_Status
1144,0.154344517,0.094047586,0.242933429,Lost Disabilty Benifits,Disability_Status
1179,0.06311029,0.036616599,0.106651174,Lost Disabilty Benifits,Disability_Status
